,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,WUPSame,,,,,,,
,,,,,,,,,,,,
,,,,Result in terms of measure ------------>,ndcg_cut_5,p_5,p_10,recip_rank,ndcg,map,bpref,rprec
,,,,,,,,,,,,
,,,,Measure to tune downwards (V),,,,,,,,
,,,,,0.34,0.5,0.4828,0.6886,0.6819,0.4519,0.4674,0.4107
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,UnWUPUniq,,,,,,,
,,,,,,,,,,,,
,,,,Result in terms of measure ------------>,ndcg_cut_5,p_5,p_10,recip_rank,ndcg,map,bpref,rprec
,,,,,,,,,,,,
,,,,Measure to tune downwards (V),,,,,,,,
,,,,ndcg_cut_5,0.2801,0.4207,0.4155,0.6142,0.661,0.4323,0.446,0.3784
,,,,ndcg_cut_10,0.2904,0.4345,0.4207,0.6119,0.6632,0.4354,0.4445,0.3762
,,,,ndcg_cut_15,0.3039,0.4552,0.4414,0.6131,0.6665,0.4377,0.4451,0.3753
,,,,ndcg_cut_20,0.2977,0.4379,0.4293,0.6282,0.6682,0.4416,0.4535,0.3872
,,,,ndcg_cut_30,0.2806,0.4241,0.4293,0.5984,0.6642,0.4389,0.4538,0.3869
,,,,ndcg,0.2923,0.4414,0.4362,0.6151,0.6643,0.4373,0.4461,0.3794
,,,,P_5,0.2814,0.431,0.4259,0.6238,0.6574,0.4279,0.4429,0.371
,,,,P_10,0.272,0.4172,0.4069,0.5931,0.6558,0.424,0.4436,0.3735
,,,,P_15,0.3125,0.4586,0.4259,0.6028,0.6669,0.4404,0.45,0.391
,,,,P_20,0.2606,0.4069,0.4086,0.5431,0.6542,0.4325,0.4583,0.3897
,,,,P_30,0.2311,0.3517,0.3724,0.486,0.6355,0.4066,0.4511,0.3588
,,,,map,0.2819,0.4276,0.4259,0.6068,0.6643,0.4398,0.4512,0.3838
,,,,recip_rank,0.2284,0.3483,0.369,0.5305,0.6395,0.4049,0.4386,0.3653
